qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,gleinig
4,31,6,8,6,29,27,3
4,34,5,8,6,30,28,3
4,30,2,6,6,28,28,2
4,29,10,4,10,28,29,3
4,31,12,6,8,28,30,3
4,29,8,6,8,27,29,4
4,30,2,6,6,28,28,2
4,34,5,8,6,30,28,3
4,29,10,4,10,28,29,3
2,28,3,2,2,26,26,3
4,28,9,4,9,25,28,3
4,30,10,4,10,25,30,3
4,28,9,4,9,25,28,3
4,27,2,2,2,27,31,3
4,30,8,4,8,28,30,5
4,33,10,6,10,29,33,4
4,30,8,4,8,28,30,5
4,34,8,6,8,27,30,3
4,26,2,2,2,26,26,3
4,31,8,6,8,31,31,4
4,32,10,6,6,28,28,2
4,31,12,6,8,28,30,3
4,33,10,6,10,29,30,4
4,29,8,4,8,27,29,3
4,31,8,6,8,31,31,4
4,31,8,6,8,31,31,4
2,28,3,2,2,26,26,3
4,29,2,2,2,26,29,3
2,26,2,2,2,26,26,3
4,32,12,5,6,30,33,4
4,27,2,2,2,27,31,3
2,30,2,2,2,26,26,2
4,27,6,4,4,28,31,4
4,30,4,4,4,27,30,4
4,30,4,4,8,27,30,4
4,26,2,2,2,24,24,2
4,32,10,6,6,28,28,2
4,31,6,8,6,29,27,3
4,30,8,4,8,28,30,5
4,29,10,4,10,28,29,3
4,27,2,2,2,27,31,3
4,29,10,8,10,29,29,4
4,30,10,4,10,25,30,3
4,34,5,8,6,30,28,3
4,28,10,4,10,27,28,4
4,29,8,6,8,27,29,4
4,29,8,4,4,28,31,4
2,28,3,2,2,26,26,3
4,28,9,4,9,25,28,3
4,29,2,2,2,27,30,3
4,34,5,8,6,30,28,3
4,28,9,4,9,25,28,3
4,28,2,4,2,25,28,2
4,28,4,4,8,27,30,4
2,26,2,2,2,26,26,3
4,34,8,6,8,27,30,3
4,32,12,5,12,30,29,4
4,34,4,6,6,29,29,4
4,31,8,6,8,31,31,4
4,30,8,4,8,28,30,5
4,27,2,2,2,27,31,3
4,31,6,8,6,29,27,3
4,28,10,4,10,27,28,4
4,26,2,2,2,26,26,3
4,29,10,4,10,28,29,3
4,30,6,8,6,29,27,3
4,26,2,2,2,26,26,3
4,27,2,2,2,26,26,2
4,29,10,4,10,28,29,3
4,28,2,4,2,25,28,2
2,30,2,2,2,26,26,2
2,26,2,2,2,26,26,2
4,29,10,8,10,29,30,4
4,27,2,2,2,27,31,3
4,29,7,6,6,27,27,2
4,28,2,4,2,25,28,2
4,32,12,4,4,28,30,5
4,30,8,4,8,28,30,3
4,29,8,4,8,26,29,2
4,29,8,4,8,27,29,3
4,29,8,6,8,27,29,4
4,28,9,4,9,25,28,3
4,27,2,2,2,26,26,2
4,30,8,4,8,28,30,5
4,29,8,4,8,26,29,2
4,32,12,5,8,29,33,4
4,28,4,4,8,27,30,4
4,29,8,6,8,27,29,4
4,28,10,4,10,27,28,4
4,32,12,5,12,30,32,4
4,34,8,6,8,27,30,3
4,26,2,2,2,26,26,3
4,29,8,6,8,27,29,4
4,27,2,2,2,27,31,3
4,29,10,8,7,29,30,4
4,29,8,4,8,26,29,2
4,29,8,4,8,27,29,3
4,28,9,4,9,25,28,3
4,29,8,4,8,26,29,2
4,28,2,4,2,25,28,2
4,32,12,4,9,28,30,5
4,32,10,6,6,28,28,2
4,29,10,4,10,28,29,3
4,32,12,5,12,30,29,4
4,32,10,6,6,28,28,2
4,28,4,4,4,27,30,4
4,34,4,5,6,28,34,4
4,29,10,4,10,28,29,3
4,29,2,2,2,26,29,3
4,32,10,6,6,28,28,2
4,27,6,4,4,28,30,4
4,29,7,6,6,27,27,2
4,28,9,4,9,25,28,3
4,29,8,4,8,27,29,3
4,29,10,4,10,28,29,3
4,29,8,4,8,26,29,2
4,29,8,4,8,27,29,3
4,29,8,4,8,27,29,3
4,29,2,2,2,26,29,3
4,29,7,6,6,27,27,2
4,34,4,5,6,28,29,4
4,28,2,4,2,25,28,2
4,32,12,5,12,29,28,4
4,30,8,4,8,28,30,5
4,32,6,6,8,27,29,3
4,29,8,4,8,26,29,2
4,30,8,4,8,28,30,5
4,27,6,4,4,28,30,4
4,32,11,4,4,28,30,5
4,29,8,4,8,27,29,3
4,28,10,4,10,27,28,4
