qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,gleinig
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,3,2,2,2,3,3,1
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
1,3,2,2,2,3,3,1
1,2,0,2,0,2,2,0
